,year,province,health,social_media,sex,birth_year,immigrant,marital_status,education,emp_status,sector,social_class,life_satis,age,employed,female
247,2020,CA-ON Ontario,Fair,Daily,Female,1964,I am born in this country,Divorced,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,8,56,1,1
248,2020,CA-NS Nouvelle-Ecosse,Fair,Daily,Male,1984,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,7,36,1,0
249,2020,CA-AB Alberta,Good,Daily,Male,1982,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Working class,7,38,1,0
250,2020,CA-ON Ontario,Good,Never,Female,1964,I am born in this country,Separated,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,7,56,1,1
251,2020,CA-BC Colombie-Britannique,Good,Never,Male,1939,I am born in this country,Married,Lower secondary education (ISCED 2),Retired/pensioned,Private business or industry,Working class,9,81,0,0
252,2020,CA-AB Alberta,Very good,Daily,Female,1971,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Self employed,Private business or industry,Working class,8,49,0,1
253,2020,CA-QC Quebec,Good,Daily,Male,1948,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Not applicable; Never had a job,Lower middle class,8,72,0,0
254,2020,CA-QC Quebec,Fair,Daily,Female,1970,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,Not applicable; Never had a job,Upper middle class,5,50,0,1
255,2020,CA-AB Alberta,Good,Weekly,Male,1995,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Unemployed,Private business or industry,Lower middle class,6,25,0,0
256,2020,CA-NB Nouveau-Brunswick,Poor,Never,Female,1981,I am born in this country,Single,Upper secondary education (ISCED 3),Unemployed,Private non-profit organization,Lower class,2,39,0,1
257,2020,CA-AB Alberta,Good,Weekly,Female,1965,I am born in this country,Divorced,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Not applicable; Never had a job,Upper middle class,7,55,1,1
258,2020,CA-AB Alberta,Fair,Daily,Female,2001,I am an immigrant to this country (born outside this country),Single,Upper secondary education (ISCED 3),Student,Not applicable; Never had a job,Lower middle class,4,19,0,1
259,2020,CA-QC Quebec,Very good,Daily,Male,2001,I am born in this country,Single,Lower secondary education (ISCED 2),Student,Not applicable; Never had a job,Upper middle class,7,19,0,0
260,2020,CA-ON Ontario,Good,Daily,Male,1981,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Upper class,8,39,1,0
