year,province,health,social_media,sex,birth_year,immigrant,marital_status,education,emp_status,sector,social_class,life_satis
2020,CA-ON Ontario,Fair,Daily,Female,1944,I am born in this country,Separated,Master or equivalent (ISCED 7),Retired/pensioned,Private non-profit organization,Upper middle class,5
2020,CA-ON Ontario,Poor,Never,Male,1951,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Upper middle class,8
2020,CA-BC Colombie-Britannique,Good,Daily,Female,1984,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),Private non-profit organization,Lower middle class,9
2020,CA-ON Ontario,Fair,Weekly,Male,1975,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,7
2020,CA-ON Ontario,Poor,Daily,Male,1988,I am born in this country,Divorced,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,1
2020,CA-BC Colombie-Britannique,Good,Weekly,Male,1982,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Upper middle class,7
2020,CA-ON Ontario,Very good,Daily,Male,1981,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Self employed,Private business or industry,Upper middle class,9
2020,CA-ON Ontario,Good,Daily,Female,1985,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Unemployed,Private business or industry,Lower middle class,6
2020,CA-ON Ontario,Good,Never,Male,1955,I am born in this country,Widowed,Bachelor or equivalent (ISCED 6),Self employed,Private business or industry,Working class,7
2020,CA-ON Ontario,Good,Daily,Male,1989,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private non-profit organization,Upper middle class,6
2020,CA-ON Ontario,Very good,Daily,Female,1993,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,7
2020,CA-ON Ontario,Very good,Daily,Male,1987,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,10
2020,CA-ON Ontario,Good,Daily,Male,1954,I am born in this country,Widowed,Lower secondary education (ISCED 2),Retired/pensioned,Private business or industry,Upper middle class,8
2020,CA-ON Ontario,Good,Daily,Female,1970,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Homemaker not otherwise employed,Private business or industry,Upper middle class,10
2020,CA-QC Quebec,Good,Daily,Female,1999,I am born in this country,Single,Short-cycle tertiary education (ISCED 5),Student,Private business or industry,Lower middle class,6
2020,CA-ON Ontario,Good,Monthly,Male,1986,I am born in this country,Living together as married,Lower secondary education (ISCED 2),Self employed,Government or public institution,Upper class,7
2020,CA-ON Ontario,Good,Daily,Female,1946,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Upper middle class,9
2020,CA-ON Ontario,Fair,Never,Female,1973,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Lower middle class,7
2020,CA-QC Quebec,Fair,Daily,Female,1969,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,3
2020,CA-NB Nouveau-Brunswick,Good,Daily,Female,1984,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private non-profit organization,Upper middle class,8
2020,CA-ON Ontario,Good,Daily,Male,1987,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,7
2020,CA-AB Alberta,Fair,Never,Male,1948,I am born in this country,Widowed,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Upper middle class,8
2020,CA-MB Manitoba,Very good,Daily,Male,1995,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Private business or industry,Lower middle class,7
