year,province,health,social_media,sex,birth_year,immigrant,marital_status,education,emp_status,sector,social_class,life_satis
2020,CA-QC Quebec,Good,Daily,Female,1994,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,7
2020,CA-QC Quebec,Good,Never,Male,1977,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Upper middle class,8
2020,CA-ON Ontario,Good,Monthly,Female,1988,I am born in this country,Married,Lower secondary education (ISCED 2),Full time (30 hours a week or more),Government or public institution,Lower middle class,6
2020,CA-PE Ile-du-Prince-Edouard,Fair,Never,Female,1965,I am born in this country,Living together as married,Master or equivalent (ISCED 7),Retired/pensioned,Government or public institution,Lower middle class,3
2020,CA-ON Ontario,Poor,Daily,Male,1994,I am born in this country,Single,Doctoral or equivalent (ISCED 8),Part time (less than 30 hours a week),Private business or industry,Lower middle class,4
2020,CA-ON Ontario,Good,Never,Female,1948,I am born in this country,Married,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Lower middle class,7
2020,CA-BC Colombie-Britannique,Good,Never,Female,1976,I am born in this country,Divorced,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),Private business or industry,Lower class,5
2020,CA-QC Quebec,Very good,Daily,Male,1987,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Lower middle class,10
2020,CA-ON Ontario,Poor,Daily,Male,1961,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Upper middle class,8
2020,CA-ON Ontario,Good,Daily,Female,1993,I am born in this country,Single,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Lower middle class,7
2020,CA-ON Ontario,Fair,Daily,Female,1958,I am an immigrant to this country (born outside this country),Married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Private business or industry,Lower middle class,7
2020,CA-ON Ontario,Very poor,Daily,Male,1994,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,1
2020,CA-BC Colombie-Britannique,Fair,Never,Female,1952,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Lower middle class,7
2020,CA-NL Terre-Neuve-et-Labrador,Poor,Daily,Male,1956,I am born in this country,Living together as married,Primary education (ISCED 1),Retired/pensioned,Private business or industry,Lower middle class,2
2020,CA-ON Ontario,Good,Never,Male,1948,I am born in this country,Married,Lower secondary education (ISCED 2),Retired/pensioned,Government or public institution,Upper middle class,8
2020,CA-BC Colombie-Britannique,Good,Never,Female,1958,I am an immigrant to this country (born outside this country),Living together as married,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Working class,8
2020,CA-BC Colombie-Britannique,Good,Daily,Female,1996,I am an immigrant to this country (born outside this country),Single,Post-secondary non-tertiary education (ISCED 4),Student,Government or public institution,Lower middle class,6
2020,CA-AB Alberta,Fair,Never,Male,1963,I am born in this country,Married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Government or public institution,Working class,5
2020,CA-AB Alberta,Good,Weekly,Female,1946,I am born in this country,Divorced,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Lower middle class,8
2020,CA-QC Quebec,Good,Never,Male,1956,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Lower middle class,9
2020,CA-QC Quebec,Good,Daily,Female,1956,I am born in this country,Divorced,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Not applicable; Never had a job,Upper middle class,8
2020,CA-QC Quebec,Good,Daily,Female,1979,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Homemaker not otherwise employed,Private non-profit organization,Upper class,9
2020,CA-QC Quebec,Good,Daily,Male,1983,I am born in this country,Living together as married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,6
2020,CA-QC Quebec,Good,Never,Female,1963,I am an immigrant to this country (born outside this country),Living together as married,Short-cycle tertiary education (ISCED 5),Part time (less than 30 hours a week),Private business or industry,Upper middle class,7
2020,CA-ON Ontario,Good,Never,Male,1950,I am born in this country,Single,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Lower middle class,7
2020,CA-NS Nouvelle-Ecosse,Poor,Daily,Male,1970,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Private business or industry,Working class,3
2020,CA-ON Ontario,Very good,Daily,Male,1971,I am born in this country,Single,Lower secondary education (ISCED 2),Part time (less than 30 hours a week),Private business or industry,Lower middle class,7
2020,CA-QC Quebec,Good,Daily,Female,1989,I am born in this country,Living together as married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Upper middle class,7
2020,CA-NS Nouvelle-Ecosse,Fair,Daily,Female,1972,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,9
2020,CA-NB Nouveau-Brunswick,Very good,Daily,Female,1981,I am born in this country,Living together as married,Master or equivalent (ISCED 7),Part time (less than 30 hours a week),Private business or industry,Upper middle class,9
2020,CA-MB Manitoba,Good,Daily,Female,1992,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,9
2020,CA-NS Nouvelle-Ecosse,Very good,Daily,Male,1973,I am born in this country,Divorced,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Upper middle class,8
2020,CA-QC Quebec,Poor,Daily,Female,1966,I am born in this country,Single,Upper secondary education (ISCED 3),Retired/pensioned,Government or public institution,Lower middle class,5
2020,CA-PE Ile-du-Prince-Edouard,Good,Daily,Female,1960,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Unemployed,Government or public institution,Lower middle class,4
2020,CA-ON Ontario,Fair,Daily,Male,1946,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Lower class,5
2020,CA-QC Quebec,Very poor,Daily,Female,2002,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Student,Government or public institution,Upper middle class,1
2020,CA-QC Quebec,Very good,Daily,Male,1992,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Upper middle class,10
2020,CA-QC Quebec,Good,Never,Male,1990,I am born in this country,Living together as married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Private business or industry,Upper middle class,8
