,year,province,health,social_media,sex,birth_year,immigrant,marital_status,education,emp_status,sector,social_class,life_satis,age,employed,female
1729,2020,CA-AB Alberta,Fair,Never,Female,1973,I am born in this country,Divorced,Upper secondary education (ISCED 3),Unemployed,Private business or industry,Lower middle class,6,47,0,1
1730,2020,CA-ON Ontario,Good,Less than monthly,Male,1943,I am born in this country,Married,Doctoral or equivalent (ISCED 8),Self employed,Private business or industry,Upper middle class,8,77,0,0
1731,2020,CA-ON Ontario,Fair,Daily,Male,1974,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,5,46,1,0
1732,2020,CA-QC Quebec,Very good,Daily,Female,1975,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Upper middle class,9,45,1,1
1733,2020,CA-QC Quebec,Very poor,Weekly,Male,1968,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private business or industry,Lower class,3,52,0,0
1734,2020,CA-ON Ontario,Very good,Never,Male,1986,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,8,34,1,0
1735,2020,CA-QC Quebec,Good,Daily,Female,1996,I am born in this country,Single,Short-cycle tertiary education (ISCED 5),Student,Private business or industry,Lower middle class,8,24,0,1
1736,2020,CA-ON Ontario,Good,Never,Female,1943,I am born in this country,Widowed,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Lower middle class,8,77,0,1
1737,2020,CA-ON Ontario,Good,Weekly,Female,1957,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Self employed,Private business or industry,Working class,8,63,0,1
1738,2020,CA-QC Quebec,Fair,Daily,Female,1994,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Lower middle class,6,26,1,1
1739,2020,CA-QC Quebec,Very good,Daily,Female,1999,I am born in this country,Single,Short-cycle tertiary education (ISCED 5),Student,Government or public institution,Upper middle class,8,21,0,1
1740,2020,CA-AB Alberta,Very good,Daily,Male,2001,I am born in this country,Single,Upper secondary education (ISCED 3),Student,Not applicable; Never had a job,Upper middle class,9,19,0,0
1741,2020,CA-QC Quebec,Very good,Weekly,Male,1974,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,10,46,1,0
1742,2020,CA-ON Ontario,Good,Never,Male,1948,I am born in this country,Married,Lower secondary education (ISCED 2),Retired/pensioned,Government or public institution,Upper middle class,8,72,0,0
1743,2020,CA-QC Quebec,Very good,Daily,Female,2002,I am born in this country,Single,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Government or public institution,Working class,8,18,1,1
1744,2020,CA-ON Ontario,Good,Daily,Male,1951,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,7,69,1,0
1745,2020,CA-ON Ontario,Fair,Daily,Male,1985,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Student,Not applicable; Never had a job,Lower class,7,35,0,0
1746,2020,CA-QC Quebec,Good,Daily,Male,1962,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,6,58,1,0
1747,2020,CA-ON Ontario,Good,Daily,Female,1943,I am born in this country,Divorced,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private business or industry,Working class,6,77,0,1
1748,2020,CA-QC Quebec,Good,Daily,Female,1986,I am born in this country,Living together as married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Not applicable; Never had a job,Upper middle class,6,34,1,1
1749,2020,CA-ON Ontario,Good,Daily,Female,1978,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Lower middle class,8,42,1,1
1750,2020,CA-ON Ontario,Good,Less than monthly,Female,1950,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Self employed,Private non-profit organization,Upper middle class,8,70,0,1
1751,2020,CA-QC Quebec,Good,Never,Male,1954,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private business or industry,Lower middle class,8,66,0,0
1752,2020,CA-QC Quebec,Fair,Daily,Female,1971,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private non-profit organization,Lower middle class,7,49,1,1
1753,2020,CA-ON Ontario,Good,Daily,Female,1996,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Private business or industry,Working class,7,24,0,1
1754,2020,CA-BC Colombie-Britannique,Good,Weekly,Female,1985,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,8,35,1,1
1755,2020,CA-BC Colombie-Britannique,Good,Daily,Male,1945,I am an immigrant to this country (born outside this country),Separated,Master or equivalent (ISCED 7),Retired/pensioned,Government or public institution,Upper middle class,8,75,0,0
1756,2020,CA-QC Quebec,Fair,Daily,Female,2001,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Student,Private business or industry,Lower middle class,5,19,0,1
1757,2020,CA-ON Ontario,Fair,Never,Male,1952,I am born in this country,Living together as married,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Private business or industry,Lower middle class,5,68,0,0
1758,2020,CA-NL Terre-Neuve-et-Labrador,Fair,Never,Female,1951,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Upper middle class,8,69,0,1
1759,2020,CA-SK Saskatchewan,Fair,Daily,Female,1942,I am born in this country,Widowed,Primary education (ISCED 1),Retired/pensioned,Government or public institution,Lower middle class,6,78,0,1
1760,2020,CA-ON Ontario,Good,Never,Male,1989,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,7,31,1,0
1761,2020,CA-ON Ontario,Good,Less than monthly,Male,2000,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private non-profit organization,Upper middle class,6,20,1,0
1762,2020,CA-AB Alberta,Very good,Less than monthly,Male,1961,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,10,59,1,0
1763,2020,CA-QC Quebec,Good,Never,Male,1947,I am born in this country,Married,Master or equivalent (ISCED 7),Retired/pensioned,Not applicable; Never had a job,Upper class,10,73,0,0
1764,2020,CA-ON Ontario,Fair,Weekly,Male,1994,I am born in this country,Single,Lower secondary education (ISCED 2),Part time (less than 30 hours a week),Private business or industry,Lower middle class,6,26,0,0
1765,2020,CA-ON Ontario,Good,Never,Male,1950,I am born in this country,Single,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Lower middle class,7,70,0,0
1766,2020,CA-ON Ontario,Good,Weekly,Female,1994,I am born in this country,Single,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),Not applicable; Never had a job,Upper middle class,4,26,0,1
1767,2020,CA-ON Ontario,Good,Never,Male,1949,I am born in this country,Married,Master or equivalent (ISCED 7),Retired/pensioned,Private non-profit organization,Upper middle class,10,71,0,0
1768,2020,CA-BC Colombie-Britannique,Good,Daily,Female,1989,I am born in this country,Married,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),Private business or industry,Working class,8,31,0,1
1769,2020,CA-ON Ontario,Very good,Daily,Female,1989,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Homemaker not otherwise employed,Private business or industry,Lower middle class,10,31,0,1
1770,2020,CA-BC Colombie-Britannique,Good,Never,Male,1952,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Lower middle class,8,68,0,0
1771,2020,CA-QC Quebec,Very good,Never,Male,1942,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Private business or industry,Working class,7,78,0,0
1772,2020,CA-ON Ontario,Good,Daily,Male,1969,I am an immigrant to this country (born outside this country),Single,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Lower middle class,8,51,1,0
1773,2020,CA-AB Alberta,Very good,Weekly,Female,1996,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Student,Private business or industry,Lower middle class,1,24,0,1
1774,2020,CA-SK Saskatchewan,Good,Never,Male,1972,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,7,48,1,0
1775,2020,CA-ON Ontario,Good,Daily,Male,1990,I am an immigrant to this country (born outside this country),Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private non-profit organization,Lower middle class,7,30,1,0
1776,2020,CA-BC Colombie-Britannique,Fair,Daily,Male,1981,I am born in this country,Single,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Lower middle class,5,39,1,0
1777,2020,CA-ON Ontario,Very good,Weekly,Male,1946,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Lower middle class,10,74,0,0
1778,2020,CA-QC Quebec,Good,Daily,Female,1955,I am born in this country,Divorced,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private non-profit organization,Lower middle class,5,65,1,1
1779,2020,CA-SK Saskatchewan,Good,Less than monthly,Male,1960,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Lower middle class,8,60,1,0
1780,2020,CA-ON Ontario,Good,Weekly,Male,1996,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Private business or industry,Lower middle class,9,24,0,0
1781,2020,CA-ON Ontario,Very good,Daily,Female,1934,I am an immigrant to this country (born outside this country),Divorced,Upper secondary education (ISCED 3),Retired/pensioned,Government or public institution,Upper middle class,8,86,0,1
1782,2020,CA-QC Quebec,Good,Daily,Male,1957,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Lower middle class,8,63,0,0
1783,2020,CA-ON Ontario,Poor,Daily,Male,1985,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Unemployed,Private non-profit organization,Lower class,5,35,0,0
1784,2020,CA-NB Nouveau-Brunswick,Very good,Monthly,Male,1987,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Lower middle class,8,33,1,0
1785,2020,CA-BC Colombie-Britannique,Very good,Daily,Female,1957,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Unemployed,Private business or industry,Upper middle class,10,63,0,1
1786,2020,CA-AB Alberta,Good,Daily,Male,1993,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Government or public institution,Lower middle class,8,27,1,0
1787,2020,CA-BC Colombie-Britannique,Fair,Never,Male,1959,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Self employed,Private business or industry,Upper middle class,7,61,0,0
1788,2020,CA-ON Ontario,Good,Daily,Female,1982,I am born in this country,Living together as married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,6,38,1,1
1789,2020,CA-ON Ontario,Very good,Daily,Male,1948,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Upper middle class,9,72,0,0
1790,2020,CA-AB Alberta,Very good,Daily,Male,1957,I am born in this country,Married,Master or equivalent (ISCED 7),Retired/pensioned,Private business or industry,Upper middle class,9,63,0,0
1791,2020,CA-AB Alberta,Fair,Weekly,Female,1985,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Working class,7,35,1,1
1792,2020,CA-ON Ontario,Fair,Never,Female,1944,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private non-profit organization,Upper middle class,8,76,0,1
1793,2020,CA-BC Colombie-Britannique,Good,Daily,Male,1938,I am born in this country,Married,Lower secondary education (ISCED 2),Retired/pensioned,Private business or industry,Upper middle class,10,82,0,0
1794,2020,CA-ON Ontario,Fair,Daily,Male,1966,I am born in this country,Single,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Lower middle class,6,54,1,0
1795,2020,CA-BC Colombie-Britannique,Good,Never,Male,1956,I am born in this country,Married,Upper secondary education (ISCED 3),Retired/pensioned,Government or public institution,Lower middle class,9,64,0,0
1796,2020,CA-ON Ontario,Good,Daily,Female,1996,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Working class,6,24,1,1
1797,2020,CA-SK Saskatchewan,Fair,Less than monthly,Male,1958,I am born in this country,Single,Short-cycle tertiary education (ISCED 5),Unemployed,Private business or industry,Working class,4,62,0,0
1798,2020,CA-ON Ontario,Very good,Daily,Male,1985,I am born in this country,Living together as married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Lower middle class,9,35,1,0
1799,2020,CA-ON Ontario,Fair,Daily,Female,1994,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Working class,8,26,1,1
1800,2020,CA-ON Ontario,Very good,Daily,Female,1970,I am born in this country,Divorced,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,9,50,1,1
1801,2020,CA-ON Ontario,Good,Daily,Male,1947,I am born in this country,Married,Doctoral or equivalent (ISCED 8),Retired/pensioned,Government or public institution,Upper middle class,7,73,0,0
1802,2020,CA-SK Saskatchewan,Good,Daily,Female,1946,I am born in this country,Widowed,Doctoral or equivalent (ISCED 8),Retired/pensioned,Private business or industry,Lower middle class,7,74,0,1
1803,2020,CA-SK Saskatchewan,Good,Weekly,Male,1948,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Working class,8,72,0,0
1804,2020,CA-QC Quebec,Very good,Daily,Female,1990,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Part time (less than 30 hours a week),Government or public institution,Upper middle class,8,30,0,1
1805,2020,CA-AB Alberta,Good,Monthly,Male,1953,I am an immigrant to this country (born outside this country),Divorced,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Government or public institution,Working class,9,67,0,0
1806,2020,CA-BC Colombie-Britannique,Good,Daily,Male,1952,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private business or industry,Working class,8,68,0,0
1807,2020,CA-NS Nouvelle-Ecosse,Good,Daily,Female,1989,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,7,31,1,1
1808,2020,CA-QC Quebec,Good,Daily,Female,1998,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Student,Private non-profit organization,Working class,8,22,0,1
1809,2020,CA-ON Ontario,Poor,Less than monthly,Male,1992,I am born in this country,Single,Upper secondary education (ISCED 3),Unemployed,Private business or industry,Lower middle class,7,28,0,0
1810,2020,CA-ON Ontario,Very good,Weekly,Male,1966,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Upper middle class,5,54,1,0
1811,2020,CA-ON Ontario,Poor,Daily,Male,1961,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Upper middle class,8,59,0,0
